3679420	,1
1460	,10
1888	,100
8	,1000
8	,1001
8	,1002
8	,1003
144412	,1004
128	,1005
128	,1006
112	,1007
148	,1008
296	,1009
124	,101
136	,1010
236	,1011
961712	,1012
112	,1013
41208	,1014
6700	,1015
806124	,1016
112	,1017
4244	,1018
956	,1019
224	,102
128	,1020
240	,1021
38108	,1022
116	,1023
112	,1024
272	,1025
312	,1026
128	,1027
380684	,1028
4108	,1029
120	,103
15612	,1030
144	,1031
1888	,1032
112	,1033
14608	,1034
5303572	,1035
248	,1036
116	,1037
280	,1038
324	,1039
140	,104
120	,1040
152	,1041
4756	,1042
632684	,1043
71944	,1044
6512	,1045
202888	,1046
183200	,1047
4576	,1048
258348	,1049
62336	,105
316496	,1050
202536	,1051
193692	,1052
36500	,1053
82716	,1054
245376	,1055
220896	,1056
217712	,1057
221236	,1058
289056	,1059
120	,106
39660	,1060
2004	,1061
87208	,1062
116	,1063
2188272	,1064
4796984	,1065
184	,1066
8080	,1067
156	,1068
300	,1069
164	,107
884	,1070
68868	,1071
9212	,1072
88140	,1073
221424	,1074
62992	,1075
210220	,1076
167056	,1077
112	,1078
124	,1079
760	,108
440	,1080
33388	,1081
15660	,1082
116	,1083
7072	,1084
50940	,1085
3896	,1086
31708	,1087
112	,1088
120	,1089
120	,109
53048	,1090
112	,1091
116	,1092
112	,1093
984	,1094
120	,1095
112	,1096
112	,1097
112	,1098
920	,1099
536	,11
120	,110
1005288	,1100
268	,1101
84588	,1102
40156	,1103
112	,1104
1579048	,1105
2671800	,1106
22124	,1107
116	,1108
1563652	,1109
464	,111
132	,1110
188	,1111
352	,1112
128	,1113
136	,1114
2831768	,1115
228	,1116
1456	,1117
4724	,1118
116	,1119
300	,112
124	,1120
19232	,1121
1056	,1122
207784	,1123
112	,1124
128	,1125
116	,1126
116	,1127
1672	,1128
24292	,1129
128	,113
5676	,1130
204372	,1131
1180	,1132
116	,1133
240	,1134
156	,1135
104848	,1136
346956	,1137
124	,1138
300168	,1139
136	,114
16024	,1140
42484	,1141
51560	,1142
460	,1143
2240	,1144
5188	,1145
348	,1146
2012	,1147
636	,1148
568	,1149
120	,115
52120	,1150
116	,1151
716	,1152
708	,1153
356	,1154
4400	,1155
508	,1156
104	,1157
116	,1158
1100	,1159
7812	,116
656	,1160
10688	,1161
532	,1162
21324	,1163
108	,1164
120	,1165
108	,1166
112	,1167
15372	,1168
108	,1169
120	,117
3115048	,1170
380	,1171
130204	,1172
104	,1173
40088	,1174
556	,1175
120	,118
532	,119
476	,12
136	,120
120	,121
124	,122
128	,123
120	,124
120	,125
284	,126
164	,127
132	,128
6388	,129
132	,13
8456	,130
2272	,131
128	,132
120	,133
136	,134
128	,135
128	,136
136	,137
276	,138
128	,139
2544	,14
31612	,140
212	,141
128	,142
128	,143
128	,144
1700	,145
128	,146
3784	,147
120	,148
220	,149
3556	,15
120	,150
120	,151
104	,152
360	,153
232	,154
10480	,155
120	,156
160	,157
8	,158
176	,159
732	,16
70200	,160
140	,161
120	,162
16160	,163
220	,164
120	,165
236	,166
120	,167
120	,168
124	,169
8808	,17
252	,170
120	,171
120	,172
120	,173
3760	,174
120	,175
188	,176
872	,177
136	,178
132	,179
160	,18
128	,180
120	,181
120	,182
13068	,183
176	,184
164	,185
152	,186
120	,187
120	,188
136	,189
240	,19
128	,190
368	,191
124	,192
120	,193
2884	,194
2192	,195
120	,196
148	,197
168	,198
128	,199
420	,20
120	,200
124	,201
632	,202
120	,203
120	,204
124	,205
220	,206
132	,207
120	,208
152	,209
132	,21
124	,210
120	,211
128	,212
120	,213
456	,214
340	,215
175452	,216
120	,217
120	,218
152	,22
120	,220
120	,221
120	,222
136	,223
120	,224
136	,225
152	,226
128	,227
144	,228
120	,229
348	,23
120	,230
140	,231
132	,232
120	,233
120	,234
120	,235
464	,236
232	,237
176	,238
216	,239
3936	,24
468	,240
1380	,241
120	,242
788	,244
128	,245
120	,246
260	,247
120	,248
2404	,249
5996	,25
136	,250
7848	,251
120	,252
120	,253
144	,254
120	,255
544	,256
120	,257
120	,258
120	,259
18284	,26
124	,260
1884	,261
128	,262
148	,263
648	,264
120	,265
120	,267
120	,268
124	,269
124	,27
128	,270
148	,271
120	,272
120	,273
128	,274
10648	,275
120	,276
120	,277
120	,278
120	,28
196	,280
2000	,281
256	,282
120	,283
120	,284
120	,285
124	,286
484	,287
236	,288
132	,289
3680	,29
120	,290
120	,291
1256	,292
120	,293
120	,294
144	,295
172	,296
120	,297
128	,298
2236	,299
1392	,3
976	,30
120	,300
120	,301
320	,302
120	,303
584	,304
212	,305
120	,306
120	,307
144	,308
120	,309
6868	,31
148	,310
120	,311
104	,312
120	,313
136	,314
596	,315
120	,316
120	,317
120	,318
120	,319
212	,32
2952	,320
856	,321
372	,322
120	,323
120	,324
140	,325
152	,326
